""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"NAGLU"	25	29	31	23	21	32	22	22	30	22	35	23	22	29
"NAGPA"	41	44	55	40	43	50	24	30	52	28	62	28	34	49
"NAGS"	18	19	19	11	20	18	7	17	16	17	21	15	12	18
"NAIF1"	22	26	27	16	22	24	16	20	23	21	25	15	21	23
"NAIP"	46	82	80	39	46	45	46	55	97	59	105	43	62	57
"NALCN"	13	16	23	10	12	20	12	8	11	16	11	10	17	20
"NALCN-AS1"	5	4	3	3	0	2	6	2	2	0	4	2	2	3
"NALT1"	5	7	7	8	1	9	6	3	6	1	13	6	3	9
"NAMA"	6	11	8	0	0	2	0	1	1	0	17	1	1	4
"NAMPT"	55	38	54	34	46	40	33	42	49	32	58	25	37	32
"NANOG"	5	6	7	4	4	7	14	5	13	4	8	5	8	11
"NANOGNB"	1	3	3	2	3	3	2	1	3	2	3	2	1	3
"NANOGP11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NANOGP8"	3	3	0	2	1	1	3	2	3	1	8	1	0	0
"NANOS1"	12	16	21	13	14	18	13	9	16	15	18	12	14	15
"NANOS2"	0	1	1	0	2	1	0	0	0	3	1	0	0	0
"NANOS3"	11	15	14	8	4	14	9	5	14	5	16	3	5	9
"NANP"	9	9	10	8	8	9	9	8	10	9	9	7	9	9
"NANS"	30	37	39	34	32	34	28	24	32	29	39	24	28	32
"NAP1L1"	175	190	212	150	187	135	149	154	233	181	198	110	186	186
"NAP1L2"	5	6	8	4	5	5	5	4	5	5	5	4	8	6
"NAP1L3"	6	8	12	9	9	8	7	4	5	7	5	4	8	5
"NAP1L4"	89	123	117	78	104	113	72	75	215	94	156	84	81	98
"NAP1L5"	7	7	10	7	8	8	5	7	8	7	9	5	8	8
"NAP1L6P"	5	4	8	1	6	3	3	1	3	4	4	2	1	5
"NAPA"	89	93	116	61	74	98	78	78	92	80	99	64	82	90
"NAPA-AS1"	14	13	15	13	12	15	12	9	15	14	15	11	14	14
"NAPB"	26	33	32	18	21	19	18	11	37	17	29	15	28	27
"NAPEPLD"	71	79	86	51	65	66	56	43	104	47	73	38	76	64
"NAPG"	47	34	38	26	33	42	33	33	40	31	36	26	20	45
"NAPRT"	103	118	190	74	94	172	76	71	134	76	155	134	97	151
"NAPSA"	22	22	25	20	16	21	16	19	20	22	30	22	22	22
"NARF"	92	106	136	82	116	123	83	111	99	77	142	65	101	97
"NARF-AS1"	4	4	5	2	3	4	2	1	4	2	4	1	3	3
"NARF-AS2"	14	11	11	6	6	9	5	9	10	6	8	4	7	9
"NARF-IT1"	1	4	5	3	2	3	2	1	4	2	4	1	3	2
"NARS1"	32	43	45	27	33	27	23	25	46	25	34	19	31	42
"NARS2"	36	35	38	28	40	33	21	23	32	34	52	23	35	28
"NASP"	122	116	139	75	96	130	107	112	156	80	107	77	112	128
"NAT1"	23	27	24	14	17	26	16	19	38	28	24	21	24	23
"NAT10"	36	46	60	33	33	49	20	33	45	26	42	24	37	36
"NAT14"	23	24	38	20	19	29	19	20	24	26	26	18	20	24
"NAT16"	1	6	6	1	2	3	3	2	6	1	3	1	1	3
"NAT2"	0	2	3	1	4	7	1	0	3	3	2	7	0	2
"NAT8"	4	4	3	2	2	2	2	2	2	2	4	2	3	4
"NAT8B"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"NAT8L"	11	12	14	11	0	11	8	9	10	9	12	10	10	11
"NAT9"	68	65	75	46	66	100	34	33	84	63	78	40	67	68
"NATD1"	9	11	11	9	10	10	9	8	9	9	11	9	9	9
"NAV1"	45	66	51	39	33	61	52	29	51	31	51	32	37	39
"NAV2"	27	69	79	39	50	50	53	20	72	44	77	56	43	40
"NAV2-AS1"	5	6	5	5	6	4	4	1	7	6	6	3	4	3
"NAV2-AS2"	1	3	3	2	0	1	0	1	4	1	2	0	2	1
"NAV2-AS3"	0	0	1	0	0	0	1	0	0	1	0	0	0	0
"NAV2-AS4"	0	1	0	0	0	3	0	1	0	0	0	1	0	1
"NAV2-AS5"	1	2	0	1	0	2	2	0	2	0	3	0	0	2
"NAV2-AS6"	3	6	8	5	6	4	4	2	5	3	6	3	5	4
"NAV2-IT1"	0	1	2	0	0	0	2	0	0	0	0	0	1	2
"NAV3"	24	37	26	20	14	33	24	15	19	20	34	19	23	14
"NAXD"	25	23	29	26	26	28	24	18	26	26	29	21	24	27
"NAXE"	49	37	47	38	43	43	39	39	47	43	45	38	43	47
"NBAS"	41	47	43	39	47	39	34	26	41	36	47	33	38	42
"NBAT1"	2	5	2	2	5	2	1	0	4	2	3	1	4	0
"NBDY"	26	22	26	18	23	21	20	21	21	23	29	21	23	21
"NBEA"	13	11	28	12	11	19	24	6	16	11	32	5	23	17
"NBEAL1"	49	39	50	27	43	44	27	27	48	36	38	41	37	31
"NBEAL2"	60	72	81	47	50	68	38	30	86	45	79	39	49	58
"NBL1"	53	75	45	49	31	76	60	42	57	43	46	45	33	44
"NBN"	45	50	33	22	38	44	37	39	50	41	40	27	36	43
"NBPF1"	41	51	44	41	41	46	34	31	58	39	54	29	45	43
"NBPF10"	13	20	22	12	6	20	18	10	19	13	27	15	13	18
"NBPF11"	38	36	33	27	38	33	29	25	44	27	39	18	36	27
"NBPF12"	41	47	45	25	37	31	29	21	49	26	51	24	36	27
"NBPF14"	26	33	33	32	31	39	35	20	44	19	45	19	24	20
"NBPF15"	40	44	49	21	38	46	31	34	41	37	57	28	44	27
"NBPF19"	15	27	30	28	23	31	28	17	38	13	32	25	23	21
"NBPF20"	22	29	32	16	24	27	18	13	29	12	36	14	22	15
"NBPF26"	23	32	38	22	24	34	24	7	51	13	40	12	28	18
"NBPF3"	43	55	55	36	31	37	30	29	56	44	64	21	37	44
"NBPF4"	0	6	0	0	4	3	0	0	0	6	2	0	5	3
"NBPF6"	0	4	0	0	2	0	1	0	0	0	2	1	2	0
"NBPF9"	41	44	55	33	44	47	29	26	51	35	63	34	42	39
"NBR1"	41	50	47	41	41	47	38	35	49	35	51	37	42	43
"NCALD"	65	72	59	51	42	111	72	49	43	91	61	60	36	48
"NCAM1"	41	71	9	15	10	83	55	16	69	45	19	29	19	43
"NCAM1-AS1"	1	5	0	0	0	3	4	0	5	1	0	0	0	2
"NCAM2"	8	14	11	9	20	12	8	6	6	11	1	6	13	1
"NCAN"	2	4	5	0	0	7	1	0	0	1	5	0	1	1
"NCAPD2"	47	49	80	35	37	58	41	38	76	30	60	29	43	44
"NCAPD3"	37	46	64	32	38	45	37	36	60	42	38	38	35	51
"NCAPG"	24	26	29	13	20	21	17	27	29	25	20	17	20	18
"NCAPG2"	49	56	60	27	47	50	44	47	54	39	42	31	45	38
"NCAPH"	25	31	35	17	25	32	23	28	43	32	31	20	22	26
"NCAPH2"	40	39	63	23	39	53	38	44	51	42	51	40	39	51
"NCBP1"	16	24	23	16	24	20	17	16	20	17	25	13	24	18
"NCBP2"	68	76	76	52	78	68	64	65	76	69	78	49	52	67
"NCBP2-AS1"	3	3	3	2	3	2	2	1	3	0	3	2	3	3
"NCBP2AS2"	11	11	12	10	11	11	10	10	10	11	11	10	10	11
"NCBP2L"	2	0	0	0	0	0	1	0	0	3	0	0	0	1
"NCBP3"	44	47	46	31	41	38	34	32	49	37	46	29	38	42
"NCCRP1"	4	8	8	7	4	7	4	5	8	8	11	3	4	5
"NCDN"	43	44	54	38	39	46	43	39	50	31	53	29	44	46
"NCEH1"	35	35	24	22	23	26	27	27	34	33	33	23	33	30
"NCF1"	40	43	45	26	31	37	27	25	57	29	58	42	36	45
"NCF2"	23	32	21	23	18	41	14	15	42	19	37	21	29	29
"NCF4"	33	27	25	14	14	23	12	29	33	16	40	32	18	29
"NCF4-AS1"	0	1	0	0	0	0	0	1	2	1	2	0	0	0
"NCK1"	48	56	64	44	55	45	57	46	63	43	68	46	40	50
"NCK1-DT"	21	19	22	18	20	17	19	17	23	19	26	17	15	22
"NCK2"	34	36	46	33	32	38	29	28	32	26	40	33	31	20
"NCKAP1"	46	43	55	27	39	38	28	37	53	28	45	30	29	38
"NCKAP1L"	37	45	36	21	32	30	30	32	46	33	55	33	36	40
"NCKAP5"	11	13	18	14	10	17	15	5	10	13	16	12	15	10
"NCKAP5-AS1"	2	1	3	1	1	1	2	0	2	1	3	0	1	3
"NCKAP5-AS2"	5	3	13	1	5	6	1	0	4	1	3	2	2	1
"NCKAP5-IT1"	0	0	1	0	0	0	1	0	0	0	1	0	0	0
"NCKAP5L"	26	37	33	24	28	29	24	20	34	21	41	21	25	28
"NCKIPSD"	41	45	59	45	47	53	33	31	55	42	53	28	42	53
"NCL"	75	81	77	62	73	77	59	54	90	43	75	59	75	65
"NCLN"	49	46	57	44	51	58	49	43	52	44	52	35	34	41
"NCMAP"	6	12	15	6	6	6	6	5	6	11	17	6	6	6
"NCMAP-DT"	3	3	6	0	0	2	0	3	3	2	6	3	4	4
"NCOA1"	50	68	63	59	66	60	60	42	80	52	57	34	58	46
"NCOA2"	18	32	30	24	24	36	20	21	32	14	25	19	22	25
"NCOA3"	27	29	28	24	21	34	27	25	35	27	30	21	26	28
"NCOA4"	40	40	37	33	27	39	40	41	46	38	40	33	33	45
"NCOA5"	17	17	18	14	14	16	15	15	19	15	19	13	16	17
"NCOA6"	27	35	38	21	33	27	24	22	35	24	36	20	29	23
"NCOA7"	42	39	52	43	38	53	42	42	52	39	53	29	46	44
"NCOA7-AS1"	0	0	0	1	0	0	0	0	0	0	2	0	0	0
"NCOR1"	145	160	160	118	148	131	123	100	145	111	144	111	135	111
"NCOR2"	134	160	171	115	107	175	125	99	145	98	170	102	87	112
"NCR1"	8	8	14	6	6	7	3	6	7	6	4	7	5	2
"NCR2"	1	0	9	1	0	1	3	5	3	1	3	1	1	2
"NCR3"	27	37	32	18	13	23	9	27	46	18	19	50	25	26
"NCR3LG1"	11	7	16	4	7	9	10	7	9	9	8	3	5	6
"NCS1"	20	24	21	19	16	26	18	17	20	23	19	22	20	20
"NCSTN"	60	51	79	52	58	65	47	45	65	43	70	34	55	58
"NDC1"	19	16	17	14	16	18	15	17	19	14	15	10	14	15
"NDC80"	27	28	29	14	21	20	19	17	24	21	21	12	21	21
"NDE1"	78	67	110	48	75	77	66	75	82	70	90	49	87	75
"NDEL1"	50	65	60	39	49	50	36	35	57	43	62	33	40	48
"NDFIP1"	24	26	26	21	21	22	21	19	28	19	28	21	28	23
"NDFIP2"	37	28	28	27	31	40	40	34	42	47	48	23	28	43
"NDFIP2-AS1"	0	0	0	0	1	0	0	0	0	0	0	0	0	1
"NDNF"	5	13	7	8	3	12	5	3	7	5	9	6	5	3
"NDOR1"	29	33	42	17	18	29	18	20	33	7	39	25	21	24
"NDP"	6	0	0	0	0	4	2	4	0	3	3	3	0	5
"NDP-AS1"	3	0	0	0	0	1	1	0	0	1	0	0	0	0
"NDRG1"	101	116	130	117	65	187	115	82	119	96	140	122	83	101
"NDRG2"	109	158	189	120	41	194	125	177	221	113	269	98	102	208
"NDRG3"	34	39	37	31	26	35	34	26	41	33	38	17	35	34
"NDRG4"	68	126	129	27	44	97	35	27	82	40	97	38	59	75
"NDST1"	33	57	43	49	29	62	39	23	51	31	50	34	34	36
"NDST1-AS1"	4	3	4	5	4	3	1	1	3	3	4	3	2	1
"NDST2"	37	33	41	32	31	36	30	31	40	28	38	26	26	37
"NDST3"	5	15	14	6	13	9	4	6	15	8	8	4	14	3
"NDST4"	0	2	1	0	0	1	1	3	2	2	2	0	2	0
"NDUFA1"	13	11	14	12	12	12	13	12	12	14	13	12	13	14
"NDUFA10"	85	86	88	69	72	90	50	54	91	60	85	66	90	76
"NDUFA11"	50	41	47	47	41	50	49	40	50	56	50	44	44	49
"NDUFA12"	45	37	50	30	41	32	30	38	42	45	50	31	33	42
"NDUFA13"	57	55	63	48	52	57	43	49	60	49	69	48	55	58
"NDUFA2"	34	32	36	34	33	33	31	30	33	34	37	31	35	35
"NDUFA3"	181	172	226	164	159	193	166	181	191	209	213	147	185	187
"NDUFA4"	41	37	49	36	39	32	27	32	45	41	39	33	40	42
"NDUFA4L2"	26	39	46	20	20	51	27	27	24	18	38	15	26	35
"NDUFA5"	78	75	84	67	83	67	54	56	79	65	77	57	82	80
"NDUFA6"	52	54	61	56	46	55	47	54	61	59	63	57	50	62
"NDUFA6-DT"	45	59	61	52	34	65	40	30	72	41	82	57	37	47
"NDUFA7"	41	31	43	31	38	35	32	31	40	32	33	26	31	34
"NDUFA8"	11	11	13	11	10	11	10	10	10	12	12	11	12	12
"NDUFA9"	73	66	82	55	66	69	60	61	74	68	75	52	67	75
"NDUFAB1"	32	28	33	20	27	26	23	29	28	24	35	25	30	34
"NDUFAF1"	22	25	28	20	23	25	21	22	30	23	28	22	25	22
"NDUFAF2"	18	16	24	20	19	20	16	20	18	21	20	15	22	22
"NDUFAF3"	48	47	56	47	51	51	36	40	47	47	49	38	51	49
"NDUFAF4"	30	24	31	26	27	24	26	27	24	29	28	25	29	27
"NDUFAF5"	77	72	86	51	54	66	47	52	72	73	76	55	73	72
"NDUFAF6"	87	80	76	66	68	89	63	69	99	75	76	70	67	101
"NDUFAF7"	45	48	43	34	58	48	31	39	64	44	58	26	42	50
"NDUFAF8"	33	25	39	23	37	27	21	29	31	28	30	21	31	30
"NDUFB1"	51	40	47	26	44	43	41	35	45	46	47	37	41	47
"NDUFB10"	43	35	43	41	42	42	43	43	39	42	44	43	39	49
"NDUFB11"	25	22	27	24	22	25	23	24	24	26	26	23	25	25
"NDUFB2"	67	67	80	57	61	62	59	54	72	58	71	56	74	75
"NDUFB2-AS1"	7	7	8	7	8	6	6	5	6	6	7	5	7	7
"NDUFB3"	33	28	36	27	28	30	26	31	33	29	32	25	32	30
"NDUFB4"	40	46	52	33	41	42	43	37	42	41	44	37	41	43
"NDUFB5"	95	83	98	67	75	80	74	88	89	85	92	75	76	99
"NDUFB6"	33	28	28	29	28	29	30	27	26	31	29	27	30	31
"NDUFB7"	17	15	19	16	15	17	12	14	16	17	15	15	16	17
"NDUFB8"	50	54	62	39	46	54	32	33	62	47	61	31	47	48
"NDUFB9"	42	48	61	41	36	46	30	30	45	44	41	36	43	44
"NDUFC1"	58	53	65	46	63	65	55	64	52	66	67	52	61	57
"NDUFC2"	53	44	50	43	47	50	50	45	45	50	74	43	48	48
"NDUFC2-KCTD14"	9	8	11	5	8	7	6	13	9	11	28	5	9	26
"NDUFS1"	82	66	84	50	54	73	49	50	73	58	69	48	63	65
"NDUFS2"	76	75	99	58	67	70	63	66	90	61	87	51	68	75
"NDUFS3"	66	55	83	34	48	55	37	37	66	54	62	48	63	54
"NDUFS4"	28	31	40	26	24	29	22	24	35	33	32	25	32	31
"NDUFS5"	26	21	27	22	26	25	25	25	23	20	25	23	25	27
"NDUFS6"	25	22	26	22	23	23	25	24	25	23	25	19	25	30
"NDUFS7"	97	79	101	79	74	92	86	75	110	86	103	79	70	105
"NDUFS8"	94	68	109	70	65	87	68	75	89	83	82	69	79	82
"NDUFV1"	133	112	174	99	104	124	83	102	158	101	115	93	124	126
"NDUFV2"	39	41	50	24	39	32	33	24	35	33	45	27	30	39
"NDUFV2-AS1"	12	14	17	11	16	13	9	7	14	9	15	6	9	14
"NDUFV3"	35	33	35	29	35	35	31	29	35	33	38	29	34	35
"NEAT1"	45	39	50	34	31	38	34	32	55	27	48	36	40	35
"NEB"	34	25	37	17	40	30	14	23	31	24	38	33	17	19
"NEBL"	17	25	37	20	23	22	13	9	34	33	39	12	17	17
"NEBL-AS1"	3	6	11	6	10	8	3	0	7	10	11	1	6	6
"NECAB1"	10	11	8	10	13	11	7	5	17	9	12	7	11	8
"NECAB2"	6	5	3	3	2	6	23	1	4	4	17	5	4	9
"NECAB3"	105	99	120	93	100	95	86	83	105	62	116	61	73	106
"NECAP1"	29	31	35	28	21	32	24	31	40	22	43	19	35	38
"NECAP2"	48	57	54	38	42	47	30	39	56	39	71	30	41	43
"NECTIN1"	20	20	20	22	15	30	30	14	29	19	13	12	18	18
"NECTIN1-AS1"	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"NECTIN2"	50	56	53	45	42	55	45	48	48	51	51	37	48	43
"NECTIN3"	21	47	53	18	24	30	33	32	34	18	42	9	24	40
"NECTIN3-AS1"	7	19	19	1	20	16	7	6	15	7	21	2	13	11
"NECTIN4"	17	15	17	16	14	19	18	16	17	15	20	14	14	18
"NECTIN4-AS1"	2	3	3	0	2	2	4	1	3	4	6	1	0	3
"NEDD1"	40	36	45	22	34	31	31	29	41	29	40	16	29	31
"NEDD4"	32	35	41	15	19	37	26	20	24	25	30	16	23	23
"NEDD4L"	82	106	129	52	101	79	46	77	112	56	104	48	93	86
"NEDD8"	51	55	55	39	53	56	46	50	61	54	58	43	53	63
"NEDD8-MDP1"	3	5	5	7	10	9	7	3	5	16	7	4	10	11
"NEDD9"	33	53	39	31	23	47	35	37	29	43	39	18	26	31
"NEFH"	5	10	12	5	10	7	10	4	11	11	7	8	5	10
"NEFL"	0	1	2	2	0	2	1	0	0	3	2	0	1	1
"NEFM"	0	6	0	3	4	3	0	0	5	0	0	0	3	1
"NEGR1"	8	9	10	6	7	9	6	7	8	6	10	8	8	6
"NEGR1-IT1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NEIL1"	47	58	95	42	39	67	37	49	64	59	96	53	71	71
"NEIL2"	41	48	45	47	29	45	25	24	45	30	46	32	35	30
"NEIL3"	12	13	11	5	13	12	11	10	13	14	10	9	11	9
"NEK1"	29	29	29	16	24	26	32	20	32	24	26	17	20	26
"NEK10"	20	23	29	9	18	16	15	8	20	8	34	10	20	21
"NEK11"	36	48	68	32	53	38	45	33	58	33	66	33	36	44
"NEK2"	32	28	30	16	24	29	24	25	31	32	27	21	26	29
"NEK3"	34	44	34	29	34	30	18	17	35	35	34	17	28	25
"NEK4"	31	28	40	22	21	35	19	21	43	19	28	21	20	34
"NEK5"	18	19	18	18	16	12	11	15	13	15	17	9	18	13
"NEK6"	57	90	45	61	41	81	47	55	80	72	95	74	55	80
"NEK7"	21	27	26	19	23	19	21	13	33	21	21	16	23	14
"NEK8"	20	23	32	11	25	22	13	11	26	19	28	14	22	24
"NEK9"	52	71	69	51	63	63	56	56	75	48	69	43	53	67
"NELFA"	67	74	91	36	41	76	37	27	63	51	89	40	72	53
"NELFB"	11	13	14	11	11	13	11	11	12	11	13	11	12	12
"NELFCD"	76	82	107	63	69	77	58	60	88	63	92	51	70	81
"NELFE"	238	198	289	154	268	227	154	151	189	197	299	168	205	219
"NELL1"	1	17	3	6	1	9	4	1	4	8	2	1	7	0
"NELL2"	9	33	50	12	31	28	9	10	27	13	42	18	41	27
"NEMF"	53	70	64	49	56	57	57	42	77	56	74	41	61	54
"NEMP1"	23	25	31	17	22	25	19	20	30	25	25	18	23	25
"NEMP2"	22	23	38	11	24	29	14	25	32	19	23	16	23	17
"NENF"	29	24	33	25	27	27	25	23	34	27	30	21	28	27
"NEO1"	70	65	69	48	62	64	47	61	71	53	70	48	61	71
"NEPRO"	82	97	115	45	73	96	64	71	103	77	105	51	81	75
"NES"	9	11	12	9	8	11	11	8	9	7	7	8	9	9
"NET1"	32	38	29	25	30	27	32	26	43	33	42	24	31	24
"NETO1"	4	18	5	5	3	10	2	6	1	12	1	5	2	0
"NETO1-DT"	0	2	1	0	0	2	0	0	2	0	0	0	2	1
"NETO2"	24	30	32	15	25	32	25	33	26	35	23	18	20	42
"NEU1"	164	102	150	108	196	183	83	94	142	192	205	103	132	129
"NEU2"	1	0	0	0	0	1	0	0	1	0	0	0	5	0
"NEU3"	34	23	36	18	23	26	21	21	31	26	22	15	23	26
"NEU4"	56	83	75	46	22	103	27	17	77	1	126	9	53	27
"NEURL1"	9	14	9	13	8	16	5	10	24	17	15	6	11	8
"NEURL1-AS1"	0	0	1	0	0	0	0	0	4	1	0	1	0	0
"NEURL1B"	14	15	15	11	14	21	17	13	23	10	12	11	17	13
"NEURL2"	13	11	15	10	10	13	9	8	13	11	13	8	11	12
"NEURL3"	19	16	30	5	19	17	4	12	27	13	21	15	15	14
"NEURL4"	50	65	71	33	48	59	27	36	69	25	68	29	38	50
"NEUROD1"	5	5	6	4	5	5	1	4	4	5	6	5	5	4
"NEUROD2"	5	6	6	4	5	5	11	3	5	4	6	5	5	4
"NEUROD4"	0	0	0	0	0	0	2	0	0	0	0	0	0	1
"NEUROD6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NEUROG1"	0	0	3	0	0	0	1	0	0	0	0	0	0	0
"NEUROG2"	0	0	2	0	1	0	2	2	0	1	1	0	4	0
"NEUROG2-AS1"	1	2	2	0	2	1	0	1	2	2	2	1	1	1
"NEUROG3"	3	2	3	0	2	2	1	1	1	0	2	1	0	3
"NEXMIF"	5	11	6	2	4	5	7	11	3	7	6	6	4	2
"NEXN"	32	41	27	29	43	42	30	25	24	24	24	22	28	35
"NEXN-AS1"	4	5	5	3	4	5	3	2	5	4	4	3	3	4
"NF1"	74	93	94	55	73	76	64	63	80	66	82	54	69	73
"NF2"	55	50	51	48	46	74	43	46	63	55	57	28	40	41
"NFAM1"	15	15	10	8	11	12	8	9	15	7	14	14	12	14
"NFASC"	82	53	126	16	18	89	66	26	34	21	33	54	19	63
"NFAT5"	40	47	43	27	38	47	36	33	58	39	55	23	31	30
"NFATC1"	44	62	97	56	25	83	51	52	60	29	60	42	32	36
"NFATC2"	25	26	29	19	15	33	26	16	24	15	35	20	22	21
"NFATC2IP"	38	41	41	29	25	44	33	40	50	34	44	29	34	45
"NFATC3"	57	73	76	48	40	71	65	46	76	58	72	40	52	65
"NFATC4"	78	109	141	68	67	129	104	77	147	83	170	77	63	129
"NFE2"	21	14	30	9	14	7	20	13	14	11	28	7	10	14
"NFE2L1"	79	105	149	80	68	104	68	78	112	62	87	82	89	86
"NFE2L1-DT"	8	6	15	5	9	9	4	6	8	9	6	6	9	9
"NFE2L2"	70	65	95	53	72	75	53	55	91	51	90	45	73	62
"NFE2L3"	19	25	29	22	20	23	20	20	24	17	24	18	23	17
"NFE4"	2	4	4	0	3	3	1	2	4	1	4	0	2	3
"NFIA"	47	49	59	34	49	63	60	61	62	36	54	19	57	53
"NFIA-AS1"	1	3	2	0	2	2	3	0	6	0	1	1	1	4
"NFIA-AS2"	5	7	5	2	4	4	3	2	4	3	10	0	4	4
"NFIB"	68	63	91	60	62	63	61	43	65	56	57	64	70	55
"NFIC"	55	70	74	59	40	74	64	47	72	35	69	57	47	55
"NFIL3"	11	10	10	10	10	11	10	9	10	10	11	8	10	10
"NFILZ"	1	0	2	1	0	0	0	1	3	0	1	0	1	1
"NFIX"	61	81	76	64	37	75	53	38	65	32	55	44	54	51
"NFKB1"	24	39	36	23	31	37	31	30	42	23	44	25	28	27
"NFKB2"	52	55	57	35	54	55	42	45	59	42	61	43	37	52
"NFKBIA"	63	55	68	55	60	64	60	67	72	54	71	35	54	73
"NFKBIB"	36	34	42	31	23	35	27	29	34	38	37	22	22	26
"NFKBID"	50	51	47	28	30	44	25	31	51	38	61	33	29	47
"NFKBIE"	11	15	19	13	14	15	12	21	21	19	20	20	17	17
"NFKBIL1"	64	100	151	75	109	138	75	78	52	75	158	104	121	108
"NFKBIZ"	35	24	38	20	36	40	30	28	54	27	59	16	27	30
"NFRKB"	40	42	58	37	37	49	50	33	66	32	46	26	34	50
"NFS1"	70	67	80	49	74	67	60	46	70	52	72	39	59	69
"NFU1"	49	50	54	46	49	54	38	46	50	51	61	42	58	48
"NFX1"	34	39	37	34	32	35	27	30	35	31	36	27	34	32
"NFXL1"	25	33	38	20	32	36	18	27	32	21	33	19	34	27
"NFYA"	18	19	20	17	18	21	16	17	19	16	19	15	19	17
"NFYB"	32	36	40	27	33	30	34	27	41	30	39	28	30	33
"NFYC"	123	117	177	100	142	127	121	106	145	87	141	77	98	139
"NFYC-AS1"	6	6	8	4	7	7	4	5	7	6	7	5	7	7
"NGB"	1	2	2	0	0	10	4	3	10	0	4	0	0	3
"NGDN"	34	36	49	27	30	40	30	26	37	36	53	18	41	45
"NGEF"	39	34	15	25	10	40	30	17	45	30	46	21	41	30
"NGF"	5	7	6	4	4	8	4	4	5	5	5	3	7	4
"NGF-AS1"	2	1	4	0	0	0	1	2	2	2	2	1	1	1
"NGFR"	11	13	11	9	5	28	15	5	8	6	13	8	9	6
"NGLY1"	73	73	84	55	65	68	56	49	90	60	79	51	84	86
"NGRN"	25	25	36	22	27	28	24	22	28	26	28	18	25	24
"NHEJ1"	27	20	22	22	25	33	21	21	31	16	29	21	20	17
"NHLH1"	2	3	6	3	3	4	5	3	5	3	6	2	3	5
"NHLH2"	0	1	13	0	0	1	0	0	0	0	1	0	0	0
"NHLRC1"	7	8	9	6	8	8	7	7	7	8	9	7	8	8
"NHLRC2"	16	14	16	15	14	15	13	15	16	13	13	8	12	12
"NHLRC3"	39	39	42	29	37	34	29	32	34	37	39	30	34	29
"NHLRC4"	5	6	6	4	4	11	5	5	5	4	14	4	9	13
"NHP2"	38	45	48	44	45	45	40	37	50	44	49	42	47	52
"NHS"	14	23	33	24	19	21	20	12	31	11	23	14	19	26
"NHS-AS1"	0	1	2	0	0	0	1	0	0	0	1	0	0	0
"NHSL1"	25	31	35	24	24	39	34	19	34	26	31	17	19	20
"NHSL2"	16	31	44	20	26	33	21	15	29	18	35	16	20	15
"NIBAN1"	16	20	22	13	16	16	15	17	23	12	28	18	12	12
"NIBAN2"	50	51	39	35	30	44	46	41	43	26	51	37	45	39
"NIBAN3"	10	14	17	7	8	14	10	8	14	5	16	9	9	8
"NICN1"	29	33	52	30	40	39	26	26	43	26	44	24	29	44
"NID1"	18	21	13	17	18	22	19	9	10	17	16	15	18	16
"NID2"	20	46	37	21	32	41	24	23	33	31	21	16	22	23
"NIF3L1"	62	51	61	44	57	55	40	50	52	48	58	42	49	52
"NIFK"	42	42	47	28	50	33	33	31	42	48	46	33	44	39
"NIFK-AS1"	34	27	36	24	34	29	12	8	30	33	31	20	31	23
"NIM1K"	8	13	16	7	9	11	9	6	14	4	14	4	10	8
"NIN"	24	22	19	10	23	30	18	10	30	13	24	17	17	21
"NINJ1"	33	34	37	20	21	36	21	27	33	19	40	24	33	29
"NINJ2"	27	26	18	14	16	23	22	23	29	24	23	23	28	24
"NINJ2-AS1"	17	18	25	14	18	20	15	17	21	17	23	15	20	20
"NINL"	17	28	28	11	19	28	15	11	30	13	21	11	24	19
"NIP7"	40	32	40	18	30	26	23	25	38	35	35	16	30	35
"NIPA1"	21	28	26	22	13	37	16	19	25	13	24	22	22	15
"NIPA2"	60	57	70	51	53	56	49	51	57	52	63	46	58	54
"NIPAL1"	16	15	23	12	16	14	16	20	15	15	15	11	20	17
"NIPAL2"	32	29	32	26	29	29	25	26	42	25	28	20	31	28
"NIPAL3"	41	47	47	33	45	42	33	32	50	40	55	29	35	42
"NIPAL4"	9	6	8	4	3	8	4	6	7	4	11	2	5	4
"NIPBL"	43	35	44	35	38	39	35	31	42	32	43	31	32	35
"NIPSNAP1"	31	28	33	22	25	32	22	20	32	30	31	19	20	31
"NIPSNAP2"	57	55	64	42	38	48	47	46	67	38	68	45	55	66
"NIPSNAP3A"	16	17	18	13	15	13	11	13	16	15	17	12	14	16
"NIPSNAP3B"	12	18	19	9	11	15	9	12	14	13	20	10	15	18
"NISCH"	66	85	93	61	50	83	51	47	95	46	93	46	57	56
"NIT1"	59	58	87	47	60	68	51	58	71	59	86	35	53	73
