Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2
HLA-DOB	6607.334733	4832.779431	212.2757519	47.963256	188.3202183	102.1825691	1573.187324	41.5765162
HLA-DQA1	942.7749076	1379.121703	173.4117383	106.9349988	214.9325691	275.3534268	4169.716387	5225.867112
HMGB3P30	30.97425375	30.88530653	42.79987867	52.31915781	62.1534728	27.19577484	55.10360905	37.55103381
HNMT	61.73602193	55.47571769	19.61866274	11.06762282	13.5847049	815.4265044	161.3031858	948.8385009
HOXA1	12.90856012	10.23319877	12.85536224	6.91970575	9.61033962	10.68723722	6.869435614	9.891781855
HPGDS	203.7910498	224.547027	83.72110944	182.147041	148.3391263	36.75265198	64.8769987	138.6741034
HPSE	30.8024485	29.58277474	55.34751097	207.2614073	54.88908823	1285.833086	841.0904631	894.528267
HRH1	206.5394742	165.4581351	75.97436695	101.1491714	42.47010982	72.1745748	145.2834807	2195.073255
HSPA6	70.64960056	148.2879125	106.7169109	21.31200497	284.0317902	641.2142131	139.8627137	207.4981375
HTR2B	6.171513508	13.11478166	22.71063607	5.822857646	6.958858985	13.85052231	31.86953296	216.0502815
ICA1	191.4053509	115.3270172	134.2533776	289.2721081	135.275358	183.2555042	192.8882167	157.9232363
ICOS	6.458825767	8.407302028	194.1905981	786.5967435	22.53108052	5.362446048	18.58723205	5.065226719
IDO1	241.0650179	312.4524995	241.3331484	248.9097098	671.6285143	269.4662793	26473.42255	91.36792646
IFI44L	24.57422621	37.30993947	84.26221988	127.385545	311.314882	307.8493777	6016.733404	984.7302507
IFNA10	63.51120873	158.4224613	12.57137446	13.99751273	13.16479841	13.10429637	8.485896389	7.997120003
IFNG	233.2462403	168.0836515	249.0786281	142.1822906	3575.236664	108.1486375	96.36432219	71.1513012
IGHD	10811.41236	2526.481303	62.3476822	26.14159933	21.68739568	50.4303708	97.72702921	106.3962528
IGHE	18.17410575	73.92464991	15.63289317	54.27863199	15.52894714	25.291882	11.92870205	16.09778833
IGHM	21960.79819	14250.20741	361.7379219	156.9391502	134.8648186	127.0436672	32.67724104	26.51832445
IGKC	27164.52012	30254.0679	3097.474216	40.36292074	121.6124805	318.0695055	235.9541063	170.8361038
IGLL3P	6633.535586	8962.420222	217.4652812	41.51758679	62.78986393	70.0394246	157.7551766	102.1260256
IGSF6	46.07125476	70.4016677	27.09871228	48.71083673	74.41451203	2662.140929	295.0724091	1626.552661
IL12B	105.275436	89.59925365	41.94288686	59.255418	56.90002211	42.42610973	513.0848293	18.65300514
IL12RB2	13.44126834	18.33818525	95.11508424	106.8888316	1531.023729	20.50390251	14.52740162	43.64768257
IL17A	24.10976356	31.66676526	7.018701499	6.560415317	8.087608443	7.929351943	11.84351258	5.797213647
IL18R1	32.74521328	56.21530515	197.574303	243.8532814	1084.441173	19.50301241	7.9840431	32.56301861
IL18RAP	63.16533501	45.38600163	541.6070596	275.2312246	5732.166309	92.02184739	24.97523206	38.64095647
IL1A	207.8094975	114.0328396	65.8236721	89.41077945	75.92997592	61.10993853	90.02342615	27.04752387
IL1B	508.1423339	364.9197528	144.2186891	251.1017935	241.5910262	1257.182131	675.1218227	291.824541
IL1RL1	161.2444569	100.3685885	34.56285806	70.12950502	125.0829545	37.42366918	93.26068194	76.11959313
IL21	346.0439646	299.7702438	59.42001123	81.58442785	68.0390322	103.5720427	59.64008096	42.67287335
IL26	6.120665994	7.623841163	7.410920044	9.532387256	5.136655175	3.424557859	4.330193687	4.366178616
IL2RA	151.2654723	216.016679	85.8239546	360.4452087	628.1600217	25.41115885	3963.774053	146.4600699
IL2RB	2118.459057	1945.518804	4000.216538	2988.605281	19190.61594	321.9612928	221.9788101	172.9682935
IL3	20.12785138	12.58545616	9.157134905	8.603842518	28.81247015	11.52632712	10.04573553	7.30958941
IL4	10.0823446	28.84260472	13.17067743	10.77863651	9.624468251	8.872339575	8.673663183	7.429093546
IL4R	11009.29392	1883.66674	884.659355	1148.814515	1609.901147	1192.215763	3007.592556	846.6140012
IL5	6.618252721	11.61192289	18.71157669	35.07363094	13.81492461	11.47899088	48.58576071	18.8378526
IL5RA	122.2890422	101.5434264	42.9451164	63.93112851	44.27072755	41.02366335	43.73965746	22.0447246
IL7	250.9247833	611.4516464	41.57938135	69.25499148	26.22845437	51.3943268	133.4873015	79.20083093
IL7R	277.7164299	454.5504216	15195.16858	18085.9446	341.6294609	163.3050166	2163.365124	85.59144108
IL9	60.05830259	42.70618828	43.06562332	89.90011254	31.82797542	15.74553195	28.83176888	10.07084824
IRF8	9506.386392	7886.092193	350.3493603	45.41225697	2594.872072	2458.705658	12117.94539	3495.416283
ITK	468.9985735	409.7558423	6471.889098	7704.627853	3981.741268	124.1014103	90.2244571	71.26574474
KCNA3	306.2764477	411.3873405	573.9051164	975.6549806	577.1730417	143.5528595	129.9134995	20.61657512
KCNG2	12.5310046	21.62331457	18.15238454	12.07805481	15.86814667	18.84293691	32.65230838	15.93115384
KIAA0226L	7209.224512	5267.694585	41.69784069	64.8769987	30.36307028	176.3964323	210.4700584	711.6687161
KIAA0754	9.870549848	7.165981269	23.11849958	7.879203828	150.2587239	44.79047534	414.8050146	157.7551766
KIR2DL1	7.406441697	5.157127328	8.01647279	6.332890006	532.2521388	5.116435124	8.603842518	8.522115249
KIR2DL4	331.7763894	242.5966898	122.2246008	79.00529624	1692.521387	128.8246048	300.0125058	75.07815363
KIR2DS4	621.6999538	437.1452806	280.1613018	120.4987696	3017.546724	129.0849772	136.0850535	62.96408983
KIR3DL2	12.24576038	10.57912504	22.06039056	9.251047619	1163.915182	11.38893073	28.01546378	13.76775417
KIRREL	15.52894714	13.70655219	34.23347857	9.694581053	12.13897809	13.64075973	22.74378501	37.96319899
KLRB1	119.5727193	241.3252476	8818.269216	10026.23944	5576.724303	90.24623781	33.3990692	13.5124231
KLRC3	13.84066629	44.61637486	724.7758509	32.02053189	662.1427421	12.58558886	14.44417944	9.753147704
KLRC4	68.25016134	85.07512829	218.1751146	17.67634993	119.9854466	20.05492885	17.06104789	6.458825767
KLRD1	204.0068731	170.2059521	1670.271427	207.8812187	6195.927488	81.02147756	62.89115552	75.6389405
KLRF1	153.1504496	198.6098814	851.1875307	127.2371142	5911.213148	100.1145382	76.15970242	182.5359056
KLRG1	1351.157456	1076.359373	3859.14824	1939.944493	912.2671752	305.4474128	253.1007469	148.5655127
KLRK1	670.2708554	280.4713279	8228.460511	276.2455792	5454.73273	78.91616578	38.56086836	62.47198947
KRT18P50	23.97041806	28.15146632	23.80795592	22.87490438	16.91790381	58.20626127	56.97214117	20.17213484
KYNU	296.2994306	573.2552275	45.94858696	39.20610994	66.70647411	858.7450615	6316.573655	1059.119128
LAG3	36.29565926	8.732532802	521.3214165	175.1856105	23.50429099	7.92284356	1427.702674	97.67723625
LAIR2	424.4791722	238.1828119	1078.390893	371.0335929	1637.522871	103.0030242	207.8812187	88.73958185
LAMP3	47.28278554	46.66817965	134.7841361	160.3048593	418.7096295	38.76231871	17116.19562	113.1413857
LAT	157.4129632	133.1507052	3224.978584	3282.260737	1262.245177	239.5833162	162.813157	181.9526719
LCK	337.4400897	327.1096376	8763.864592	7786.120969	2808.159439	80.75884433	25.99553349	22.85969301
LEF1	30.90820518	28.4865918	1204.840659	1154.223661	115.8526336	12.54164279	11.83156209	15.80624293
LHCGR	154.6890469	195.3792191	9.897454754	8.255798098	26.06781415	11.47012114	23.03809769	22.03161941
LILRA2	20.88194891	19.97153628	20.16252339	18.02258618	38.77174192	1764.823942	317.6856228	220.1788316
LILRA3	7.153043448	6.787328787	9.02114446	6.052620848	12.10187282	880.456908	973.1747582	154.5203653
